DATE,TOTALSA
1/1/2007,16.896
2/1/2007,17.169
3/1/2007,16.438
4/1/2007,16.615
5/1/2007,16.661
6/1/2007,16.179
7/1/2007,15.837
8/1/2007,16.379
9/1/2007,16.532
10/1/2007,16.455
11/1/2007,16.354
12/1/2007,16.03
1/1/2008,15.705
2/1/2008,15.491
3/1/2008,15.114
4/1/2008,14.605
5/1/2008,14.697
6/1/2008,14.377
7/1/2008,13.006
8/1/2008,14.119
9/1/2008,12.961
10/1/2008,10.933
11/1/2008,10.526
12/1/2008,10.383
1/1/2009,9.786
2/1/2009,9.223
3/1/2009,9.748
4/1/2009,9.379
5/1/2009,10.176
6/1/2009,10.149
7/1/2009,11.566
8/1/2009,14.754
9/1/2009,9.535
10/1/2009,10.576
11/1/2009,11.041
12/1/2009,11.284
1/1/2010,10.893
2/1/2010,10.315
3/1/2010,11.772
4/1/2010,11.454
5/1/2010,12.03
6/1/2010,11.598
7/1/2010,11.948
8/1/2010,12.014
9/1/2010,11.922
10/1/2010,12.414
11/1/2010,12.3
12/1/2010,12.605
1/1/2011,12.806
2/1/2011,13.081
3/1/2011,13.259
4/1/2011,13.326
5/1/2011,12.28
6/1/2011,11.886
7/1/2011,12.72
8/1/2011,12.604
9/1/2011,13.356
10/1/2011,13.73
11/1/2011,13.743
12/1/2011,13.798
1/1/2012,14.395
2/1/2012,14.975
3/1/2012,14.594
4/1/2012,14.769
5/1/2012,14.496
6/1/2012,14.467
7/1/2012,14.38
8/1/2012,14.444
9/1/2012,15.099
10/1/2012,14.83
11/1/2012,15.456
12/1/2012,15.462
1/1/2013,15.813
2/1/2013,15.861
3/1/2013,15.721
4/1/2013,15.811
5/1/2013,15.884
6/1/2013,16.149
7/1/2013,16.021
8/1/2013,15.827
9/1/2013,15.857
10/1/2013,15.727
11/1/2013,16.079
12/1/2013,15.835
1/1/2014,15.614
2/1/2014,15.993
3/1/2014,16.985
4/1/2014,16.695
5/1/2014,17.137
6/1/2014,17.516
7/1/2014,17.277
8/1/2014,17.239
9/1/2014,16.959
10/1/2014,16.756
11/1/2014,16.949
12/1/2014,17.178
1/1/2015,16.91
2/1/2015,16.891
3/1/2015,17.896
4/1/2015,17.693
5/1/2015,17.929
6/1/2015,17.889
7/1/2015,18.318
8/1/2015,18.391
9/1/2015,18.281
10/1/2015,18.27
11/1/2015,18.314
12/1/2015,17.503
1/1/2016,18.054
2/1/2016,18.096
3/1/2016,17.291
4/1/2016,17.669
5/1/2016,17.695
6/1/2016,17.735
7/1/2016,18.109
8/1/2016,17.927
9/1/2016,17.956
10/1/2016,17.954
11/1/2016,17.792
12/1/2016,18.277
1/1/2017,17.652
2/1/2017,17.699
3/1/2017,17.061
4/1/2017,17.166
5/1/2017,17.081
6/1/2017,17.13
7/1/2017,17.237
8/1/2017,17.051
9/1/2017,18.313
10/1/2017,18.482
11/1/2017,18.003
12/1/2017,17.887
1/1/2018,17.176
2/1/2018,17.447
3/1/2018,17.662
4/1/2018,17.584
5/1/2018,17.829
6/1/2018,17.743
7/1/2018,17.629
8/1/2018,17.564
9/1/2018,17.776
10/1/2018,17.991
11/1/2018,18.061
12/1/2018,18.077
1/1/2019,16.91
2/1/2019,16.945
3/1/2019,17.732
4/1/2019,16.868
5/1/2019,18.027
6/1/2019,17.815
7/1/2019,17.731
8/1/2019,17.859
9/1/2019,17.746
10/1/2019,17.087
11/1/2019,17.594
12/1/2019,17.551
1/1/2020,16.841
2/1/2020,17.026
3/1/2020,11.736
4/1/2020,8.834
5/1/2020,12.549
6/1/2020,13.545
7/1/2020,15.279
8/1/2020,15.868
9/1/2020,16.77
10/1/2020,16.663
11/1/2020,16.405
12/1/2020,17.052
1/1/2021,16.629
2/1/2021,16.076
3/1/2021,18.287
4/1/2021,18.502
5/1/2021,17.567
6/1/2021,15.996
7/1/2021,15.306
8/1/2021,13.749
9/1/2021,12.747
10/1/2021,13.25
11/1/2021,13.553
12/1/2021,13.244
1/1/2022,14.798
2/1/2022,14.109
3/1/2022,14.049
4/1/2022,14.486
5/1/2022,13.4
6/1/2022,13.748
7/1/2022,13.965
8/1/2022,14.01
9/1/2022,14.191
10/1/2022,15.157
11/1/2022,14.785
12/1/2022,14.048
1/1/2023,15.605
2/1/2023,15.378
3/1/2023,15.441
4/1/2023,16.21
5/1/2023,16.079
6/1/2023,16.607
7/1/2023,16.446
8/1/2023,15.814
9/1/2023,16.184
10/1/2023,15.972
